"id","strongs_number","d_strong","original_word","english_translation","long_text","short_text","transliteration","step_united_reason","step_type"
"12931","H3379"," ","יָֽרָבְעָם","Jeroboam","Jeroboam = ""the people will contend""    1) the first king of the northern kingdom of Israel when the kingdom split at the death of Solomon and the 10 tribes split off from Judah and Benjamin and the kingdom under Solomon's son Rehoboam; idolatry was introduced at the beginning of his reign    2) the 8th king of the northern kingdom of Israel, son of Joash, and 4th in the dynasty of Jehu; during his reign the Syrian invaders were repelled and the kingdom restored to its former borders but the idolatry of the kingdom was maintained","(a)   Jeroboam; son of Nebath; king of Israel (931/30-910/09); (b)   Jeroboam; son of Joash; king of Israel (782/81-753)",NULL,"named","king"
"13227","H3658"," ","כִּנּוֹר","lyre","1) lyre, harp","harp",NULL,"named","king"
"14128","H4505"," ","מְנַחֵם","Menahem","Menahem = ""comforter""    1) son of Gadi and king of the northern kingdom of Israel; slew the usurper Shallum to ascend the throne and reigned for ten years; contemporary with prophets Hosea and Amos","Menahem; son of Gadi; king of Israel (752-742/41)",NULL,"named","king"
"14637","H4983"," ","מַתַּנְיָ֫הוּ","Mattaniah","Mattaniah = ""gift of Jehovah""    1) the original name of the last king of Judah before the captivity; also known as 'Zedekiah'    2) a Levite, son of Heman, whose office was to blow the horns in the temple service as appointed by David    3) a Levite of the family of Asaph    4) a Levite of the family of Asaph who assisted in the purification of the temple in the reign of Hezekiah    5) a Levite of the family of Asaph who took part in the dedication of the wall of Jerusalem; leader of the temple choir    6) a Levite, descendant of Asaph and ancestor of Jahaziel in the time of Jehoshaphat    7) another Levite in the time of Nehemiah    8) a Levite, father of Zaccur and ancestor of Hanan the under-treasurer who had charge of the offerings in the time of Nehemiah    9) a man of the sons of Elam who had and put away a strange wife in the time of Ezra    10) a man of the sons of Zattu who had and put away a strange wife in the time of Ezra    11) a man descended from Pahath-moab who had and put away a strange wife in the time of Ezra    12) a man of the sons of Bani who had and put away a strange wife in the time of Ezra","(a) צִדָקִיָּהוּ ,צִדָקִיָּה   Mattaniah; son of Josiah; king of Judah ; (b)   Mattaniah; son of Mica; Levite; after exile; (c)   Mattaniah; various men ; (a)   Mattaniah; son of Heman; temple singer; time of king David; (b)   Mattaniah; Levite; time of king Hezekiah",NULL,"named","king"
"15212","H5511"," ","סִיחוֹן","Sihon","Sihon = ""warrior""    1) king of the Amorites at the time of the conquest and defeated by Moses in Transjordan","Sihon; king of Amorites",NULL,"named","king"
"16292","H6490"," ","פִּקּוּד","precept","1) precept, statute","orders",NULL,"named","king"
"16295","H6493"," ","פִּקֵּחַ","seeing","1) seeing, clear-sighted","clear-sighted",NULL,"named","king"
"17236","H7346"," ","רְחַבְעָם","Rehoboam","Rehoboam = ""a people has enlarged""    1) son of Solomon and the 1st king of Judah after the split up of the kingdom of Israel","Rehoboam; son of Solomon; king of Judah (931/30-913)",NULL,"named","king"
"17488","H7576"," ","רָתַק","to bind","1) to bind    1a) (Niphal) to be snapped, be broken    1b) (Pual) to be bound","(a) nif.   to burst?; (b) pu.   to be bound",NULL,"named","king"
"17905","H7966"," ","שִׁלּוּם","recompense","1) requital, reward    1a) requital, retribution    1b) reward, bribe","",NULL,"named","king"
"17906","H7967"," ","שַׁלּוּם","Shallum","Shallum = ""retribution""    1) son of Jabesh, conspirator and slayer of king Zachariah of the northern kingdom of Israel ending the dynasty of Jehu; assumed the throne and became the 15th king of the northern kingdom; reigned for one month and was killed by Menahem    2) the 3rd son of king Josiah of Judah and subsequent king of Judah; reigned for 3 months before he was taken captive to Egypt where he was placed in chains and later died    2a) also 'Jehoahaz'    3) husband of Huldah the prophetess in the reign of king Josiah of Judah. Maybe the same as 4    4) uncle of Jeremiah the prophet. Maybe the same as 3    5) a Simeonite, son of Shaul and grandson of Simeon    6) a Judaite, son of Sisamai and father of Jekamiah in the family of Jerahmeel    7) an Ephraimite, father of Jehizkiah    8) a son of Naphtali    9) a Korahite Levite, chief of a family of gatekeepers for the east gate of the temple    9a) maybe same as 13    10) son of Halohesh and ruler of a district of Jerusalem; also repairer of the wall of Jerusalem in the time of Nehemiah    11) a priest, of the family of Eleazar, son of Zadok and father of Hilkiah in the family line of Ezra    12) a Korahite Levite, son of Kore, father of Maaseiah, and in charge of the work of the service. Maybe same as 9    13) a Levite gatekeeper who had a foreign wife in the time of Ezra    14) a Levite and descendant of Bani who had a foreign wife in the time of Ezra","(a)   Shallum; son of Jabesh; king of Israel ; (b)   Shallum; husband of Huldah, prophetess; (c)   Shallum; descendant of Jerahmeel; tribe of Judah; (d)   Shallum; sun of Saul; tribe of Simeon; (e) יוֹאָחָז ,יְהוֹאָחָז   Shallum; son of Josiah; king of Judah ; (f)   Shallum; father of Hanamel; uncle of prophet Jeremiah; (g)   Shallum; son of Zadok; high-priest; tribe of Levi; (h)   Shallum; son of Naphtali; (i)   Shallum; gatekeeper(s); after exile; (j)   Shallum; father of Mattitiah, Levite; (k)   Shallum; father of Hezekiah, chief; tribe of Ephraim; time of Ahaz; (l)   Shallum; various men; after exile; (m)   Shallum; father of Maaseiah; tribe of Levi; time of Jeremiah",NULL,"named","king"
"17954","H8010"," ","שְׁלֹמֹה","Solomon","Solomon = ""peace""    1) son of David by Bathsheba and 3rd king of Israel; author of Proverbs and Song of Songs","Solomon; son of David; king of Israel; tribe of Judah",NULL,"named","king"
